fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0269770,Shishmaref,,,409-BF-05,Shishmaref Tank Farm,6,147500,60500,87000,,,,t,f,f,f,,,,,DEC,,,,66.2542724609375,-166.072998046875
0269770,Shishmaref,483,,409-BF-02,US Fish and Wildlife,,3100,,,,,,t,f,f,f,,,,280,AEA,,,,66.25787353515625,-166.07330322265625
0270100,Shungnak,,ANC-S-031,409-BF-03,Alaska Village Electric Cooperative,14,112800,,112800,,,,,,,t,,,,,DEC,,,,66.8883056640625,-157.13970947265625
0270100,Shungnak,,,409-BF-04,City of Shungnak Water Treatment Plant,1,5000,,5000,,,,f,t,f,f,,,,,DEC,,,,66.888671875,-157.14141845703125
0270100,Shungnak,,ANC-S-033,409-BF-01,Northwest Arctic Borough School District,5,40000,,40000,,,,t,f,f,t,,,,,DEC,,,,66.8892822265625,-157.1353759765625
0270100,Shungnak,,,,Shungnak AVEC,14,115800,,115800,,,,f,t,f,,Everts,,,,AEA,2024 Assessment,2023,2024,66.8878294068881,-157.140444279891
0270100,Shungnak,,ANC-S-032,410-BF-03,Shungnak Native Store,9,74300,32800,41500,,,,f,t,f,t,,,,,DEC,,,,66.88787841796875,-157.140625
0270100,Shungnak,,,,Shungnak Native Store Retail,9,74300,32800,41500,,,,t,t,f,,Everett’s air brings diesel Crowley barge brings Gasoline,,,,AEA,2024 Assessment,2023,2024,66.8873993494818,-157.140313877184
0270100,Shungnak,,,,Shungnak School District,3,30000,,30000,,,,t,t,f,,Crowley and Everts,,,,AEA,2024 Assessment,2023,2024,66.8892515600733,-157.137054896199
0270100,Shungnak,,,,Shungnak Water Treatment Plant,1,5000,,5000,,,,t,t,t,,WTP appears to buy fuel from store,,,,AEA,2024 Assessment,2023,2024,66.8879020527778,-157.141999512824
0270540,Sitka,,,,Air Medical Group Holdings,1,8000,,,,8000,,f,f,t,f,,,,,DEC,,,,57.0552978515625,-135.36798095703125
0270540,Sitka,,,,Alaska Army National Guard,1,1300,,1300,,,,,,,f,,,,,DEC,,,,57.04632568359375,-135.30010986328125
0270540,Sitka,,,410-BF-05,Alaska Commercial Company,1,1000,,1000,,,,f,f,t,f,,,,,DEC,,,,57.056884765625,-135.3466796875
0270540,Sitka,,,410-BF-02,City of Sitka,1,3000,,3000,,,,f,f,t,f,,,,,DEC,,,,57.04730224609375,-135.3555908203125
0270540,Sitka,,,,City of Sitka,3,81500,,81500,,,,f,f,t,f,,,,,DEC,,,,57.0521240234375,-135.30889892578125
0270540,Sitka,,,410-BF-09,Colaska,2,4000,,4000,,,,f,f,t,f,,,,,DEC,,,,57.10247802734375,-135.39410400390625
0270540,Sitka,,,,Delta Western,3,30000,10000,20000,,,,t,f,f,f,,,,,DEC,,,,57.1160888671875,-135.393310546875
0270540,Sitka,,,,Delta Western,1,10000,,10000,,,,f,f,t,f,,,,,DEC,,,,57.0465087890625,-135.22967529296875
0270540,Sitka,,,410-BF-04,Delta Western,3,407826,90726,158550,,158550,,t,f,f,f,,,,,DEC,,,,57.12847900390625,-135.37939453125
0270540,Sitka,,,,National Park Service,1,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,57.04852294921875,-135.31890869140625
0270540,Sitka,,,411-BF-01,Silver Bay Seafoods,1,8000,,8000,,,,f,f,t,f,,,,,DEC,,,,57.044921875,-135.2313232421875
0270540,Sitka,,,411-BF-06,Sitka Airport DOT&PF ARFF,1,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,57.05267333984375,-135.364990234375
0270540,Sitka,,,411-BF-02,USCG Air Station Sitka,11,65503,,14003,,51500,,f,f,t,f,,,,,DEC,,,,57.0552978515625,-135.36810302734375
0270760,Skagway,,,411-BF-07,Alaska Power & Telephone,2,11000,,11000,,,,f,f,t,f,,,,,DEC,,,,59.455078125,-135.31597900390625
