fips_code,name,start_year,end_year,is_most_recent,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0226835,Four Mile Road,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0226870,Fox,2019,2023,1,13,0,0,0,0,0,0,0,0,0,0,13,0,0,,0,13,13,13,13,13,13,0
0226910,Fox River,2019,2023,1,605,111,62,73,37,70,97,42,40,23,17,20,8,5,22.1,270,335,315,45,33,605,310,295
0227090,Fritz Creek,2019,2023,1,2432,180,129,123,82,63,282,317,364,186,220,356,108,22,45.8,488,1944,1918,605,486,2432,1240,1192
0227145,Funny River,2019,2023,1,1127,0,0,28,0,0,70,46,155,225,268,297,29,9,60.4,28,1099,1099,427,335,1127,614,513
0227420,Gakona,2019,2023,1,200,23,17,15,6,0,33,19,21,16,9,32,4,5,36.4,61,139,139,50,41,200,106,94
0227530,Galena,2019,2023,1,565,57,32,43,22,37,91,104,70,31,11,36,31,0,36.1,152,413,411,72,67,565,250,315
0227640,Gambell,2019,2023,1,464,37,38,36,42,47,85,46,51,23,25,19,13,2,27.6,139,325,294,47,34,464,247,217
0227700,Game Creek,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0228200,Gateway,2019,2023,1,6716,534,738,729,429,318,891,1275,760,295,231,368,119,29,32.6,2301,4415,4258,625,516,6716,3251,3465
0228590,Glacier View,2019,2023,1,209,20,0,0,5,9,24,55,3,33,10,29,21,0,41.8,25,184,184,50,50,209,104,105
0228740,Glennallen,2019,2023,1,601,58,49,75,37,22,83,43,101,42,39,15,23,14,33.5,203,398,381,83,52,601,281,320
0229130,Goldstream,2019,2023,1,3238,105,184,171,209,305,83,627,540,149,220,537,108,0,44.5,637,2601,2418,727,645,3238,1450,1788
0229180,Golovin,2019,2023,1,205,14,13,33,21,10,14,34,17,13,10,23,3,0,31.6,75,130,121,34,26,205,129,76
0229290,Goodnews Bay,2019,2023,1,113,17,15,3,3,5,21,18,14,11,3,3,0,0,32.6,38,75,75,6,3,113,48,65
0230060,Grayling,2019,2023,1,171,18,9,20,12,2,16,35,10,8,18,7,13,3,36.4,58,113,112,29,23,171,93,78
0230500,Gulkana,2019,2023,1,73,0,0,4,5,0,4,7,6,7,7,22,11,0,64.1,9,64,64,37,33,73,39,34
0230940,Gustavus,2019,2023,1,610,3,8,44,60,39,37,31,107,64,51,84,76,6,51.5,90,520,482,200,166,610,319,291
0231050,Haines,2019,2023,1,1781,61,133,165,107,30,98,192,233,116,172,298,152,24,49.4,456,1325,1315,547,474,1781,881,900
0231270,Halibut Cove,2019,2023,1,214,0,16,35,4,0,81,22,14,10,0,15,0,17,32.1,55,159,159,32,32,214,124,90
0231710,Happy Valley,2019,2023,1,773,24,23,51,32,37,29,76,36,56,97,172,108,32,61.5,113,660,637,373,312,773,395,378
0231765,Harding-Birch Lakes,2019,2023,1,206,0,0,0,16,0,0,13,68,43,46,20,0,0,59.1,16,190,190,46,20,206,143,63
0232150,Healy,2019,2023,1,723,46,23,82,55,30,85,86,99,41,29,133,14,0,39.8,185,538,517,161,147,723,339,384
0232310,Healy Lake,2019,2023,1,31,5,0,0,3,0,0,3,5,8,7,0,0,0,53.8,8,23,23,4,0,31,17,14
0232550,Hobart Bay,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0232810,Hollis,2019,2023,1,147,0,25,0,0,0,0,0,0,42,17,63,0,0,63.4,25,122,122,80,63,147,107,40
0233030,Holy Cross,2019,2023,1,229,16,3,32,31,3,26,20,20,26,25,23,1,3,35.5,82,147,146,44,27,229,161,68
0233140,Homer,2019,2023,1,5750,278,298,335,358,331,773,768,606,308,403,856,297,139,40,1108,4642,4403,1525,1292,5750,3021,2729
0233360,Hoonah,2019,2023,1,894,40,40,28,15,63,170,80,107,92,54,152,49,4,46.5,110,784,767,245,205,894,555,339
0233470,Hooper Bay,2019,2023,1,1008,126,123,83,95,35,112,125,169,42,52,34,12,0,30.1,406,602,572,72,46,1008,516,492
0233580,Hope,2019,2023,1,28,0,0,0,0,0,9,8,11,0,0,0,0,0,40.6,0,28,28,0,0,28,19,9
0233800,Houston,2019,2023,1,1693,75,71,95,113,94,246,174,245,126,174,211,61,8,42.4,313,1380,1318,366,280,1693,1010,683
0233910,Hughes,2019,2023,1,32,0,3,4,0,1,2,0,2,0,3,14,3,0,70.2,7,25,25,17,17,32,13,19
0234350,Huslia,2019,2023,1,136,10,25,16,7,24,18,7,8,9,5,7,0,0,23.4,56,80,78,8,7,136,78,58
