fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0220600,Eagle Village,9,Eagle Grid,0.0,SUN,Solar,2021
0220600,Eagle Village,9,Eagle Grid,0.5,DFO,Distillate Fuel Oil,2021
0220716,Eareckson Station,,,,,,
0220970,Edna Bay,,,,,,
0221040,Eek,41,Eek Grid,1.1,DFO,Distillate Fuel Oil,2021
0221150,Egegik,111,Egegik Grid,1.0,DFO,Distillate Fuel Oil,2021
0221370,Eielson AFB,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0221370,Eielson AFB,215,Railbelt Grid,44.5,WND,Wind,2021
0221370,Eielson AFB,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0221370,Eielson AFB,215,Railbelt Grid,1.9,SUN,Solar,2021
0221370,Eielson AFB,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0221370,Eielson AFB,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0221370,Eielson AFB,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0221370,Eielson AFB,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0221370,Eielson AFB,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0221370,Eielson AFB,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0221810,Ekwok,65,New Stuyahok Grid,1.2,DFO,Distillate Fuel Oil,2021
0222140,Elfin Cove,112,Elfin Cove Grid,,,,
0222250,Elim,43,Elim Grid,1.3,DFO,Distillate Fuel Oil,2021
0222910,Emmonak,45,Emmonak Grid,0.4,WND,Wind,2021
0222910,Emmonak,45,Emmonak Grid,3.2,DFO,Distillate Fuel Oil,2021
0223460,Ester,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0223460,Ester,215,Railbelt Grid,44.5,WND,Wind,2021
0223460,Ester,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0223460,Ester,215,Railbelt Grid,1.9,SUN,Solar,2021
0223460,Ester,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0223460,Ester,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
