community_fips_code,year,month,monthly_hdd_sum
0201390,2022,4,1153
0201390,2022,5,668
0201390,2022,6,216
0201390,2022,7,185
0201390,2022,8,339
0201390,2022,9,649
0201390,2022,10,1250
0201390,2022,11,1824
0201390,2022,12,2296
0201390,2023,1,2017
0201390,2023,2,1825
0201390,2023,3,1709
0201390,2023,4,1313
0201390,2023,5,615
0201390,2023,6,284
0201390,2023,7,90
0201390,2023,8,214
0201390,2023,9,677
0201390,2023,10,1278
0201390,2023,11,1670
0201390,2023,12,2124
0201390,2024,1,2406
0201390,2024,2,1939
0201390,2024,3,1509
0201390,2024,4,987
0201390,2024,5,622
0201390,2024,6,238
0201390,2024,7,215
0201390,2024,8,339
0201390,2024,9,663
0201390,2024,10,1310
0201390,2024,11,1896
0201390,2024,12,1959
0201420,2017,1,1621
0201420,2017,2,1464
0201420,2017,3,1677
0201420,2017,4,810
0201420,2017,5,613
0201420,2017,6,326
0201420,2017,7,220
0201420,2017,8,321
0201420,2017,9,521
0201420,2017,10,811
0201420,2017,11,1129
0201420,2017,12,1106
0201420,2018,1,1479
0201420,2018,2,1052
0201420,2018,3,1166
0201420,2018,4,866
0201420,2018,5,656
0201420,2018,6,352
0201420,2018,7,260
0201420,2018,8,327
0201420,2018,9,386
0201420,2018,10,657
0201420,2018,11,1006
0201420,2018,12,1477
0201420,2019,1,1266
0201420,2019,2,935
0201420,2019,3,953
0201420,2019,4,893
0201420,2019,5,569
0201420,2019,6,259
0201420,2019,7,154
0201420,2019,8,219
0201420,2019,9,435
0201420,2019,10,782
0201420,2019,11,988
0201420,2019,12,1502
0201420,2020,1,1968
0201420,2020,2,1422
0201420,2020,3,1394
0201420,2020,4,832
0201420,2020,5,550
0201420,2020,6,402
0201420,2020,7,254
0201420,2020,8,283
0201420,2020,9,555
0201420,2020,10,845
0201420,2020,11,1153
0201420,2020,12,1323
0201420,2021,1,1391
0201420,2021,2,1278
0201420,2021,3,1445
0201420,2021,4,998
0201420,2021,5,643
0201420,2021,6,426
0201420,2021,7,330
0201420,2021,8,385
0201420,2021,9,631
0201420,2021,10,964
0201420,2021,11,1799
0201420,2021,12,1381
0201420,2022,1,1586
0201420,2022,2,1140
0201420,2022,3,1217
0201420,2022,4,924
0201420,2022,5,594
0201420,2022,6,261
0201420,2022,7,313
0201420,2022,8,346
0201420,2022,9,524
0201420,2022,10,886
0201420,2022,11,1165
0201420,2022,12,1414
0201420,2023,1,1357
0201420,2023,2,1372
0201420,2023,3,1321
0201420,2023,4,1208
0201420,2023,5,716
0201420,2023,6,403
0201420,2023,7,294
0201420,2023,8,306
0201420,2023,9,572
0201420,2023,10,898
0201420,2023,11,1117
0201420,2023,12,1617
0201420,2024,1,1487
0201420,2024,2,1178
0201420,2024,3,1384
0201420,2024,4,983
0201420,2024,5,765
0201420,2024,6,361
0201420,2024,7,328
0201420,2024,8,391
0201420,2024,9,524
0201420,2024,10,931
0201420,2024,11,1269
0201420,2024,12,1128
0201560,2017,1,1194
0201560,2017,2,1038
0201560,2017,3,1235
0201560,2017,4,792
0201560,2017,5,648
0201560,2017,6,466
0201560,2017,7,320
0201560,2017,8,368
0201560,2017,9,480
0201560,2017,10,714
0201560,2017,11,909
0201560,2017,12,930
0201560,2018,1,1122
0201560,2018,2,896
0201560,2018,3,979
0201560,2018,4,777
0201560,2018,5,680
0201560,2018,6,452
0201560,2018,7,311
0201560,2018,8,301
0201560,2018,9,363
0201560,2018,10,626
0201560,2018,11,808
0201560,2018,12,1079
0201560,2019,1,1014
0201560,2019,2,860
0201560,2019,3,839
0201560,2019,4,788
0201560,2019,5,609
0201560,2019,6,352
0201560,2019,7,179
0201560,2019,8,160
0201560,2019,9,390
0201560,2019,10,689
0201560,2019,11,726
0201560,2019,12,1020
0201560,2020,1,1425
0201560,2020,2,1059
0201560,2020,3,1049
0201560,2020,4,789
0201560,2020,5,590
0201560,2020,6,454
0201560,2020,7,217
0201560,2020,8,262
0201560,2020,9,470
0201560,2020,10,733
0201560,2020,11,944
0201560,2020,12,1033
0201560,2021,1,1017
0201560,2021,2,985
0201560,2021,3,1093
0201560,2021,4,834
0201560,2021,5,651
0201560,2021,6,440
0201560,2021,7,318
0201560,2021,8,347
0201560,2021,9,528
0201560,2021,10,766
0201560,2021,11,1259
0201560,2021,12,1098
0201560,2022,1,1136
0201560,2022,2,866
0201560,2022,3,948
0201560,2022,4,836
0201560,2022,5,584
0201560,2022,6,318
0201560,2022,7,327
0201560,2022,8,332
0201560,2022,9,466
0201560,2022,10,719
0201560,2022,11,927
0201560,2022,12,1031
0201560,2023,1,989
0201560,2023,2,1011
0201560,2023,3,1064
0201560,2023,4,935
0201560,2023,5,724
0201560,2023,6,503
0201560,2023,7,349
0201560,2023,8,326
0201560,2023,9,532
0201560,2023,10,751
0201560,2023,11,908
0201560,2023,12,1187
0201560,2024,1,1161
0201560,2024,2,991
0201560,2024,3,1080
0201560,2024,4,886
0201560,2024,5,726
0201560,2024,6,468
0201560,2024,7,369
0201560,2024,8,365
0201560,2024,9,485
0201560,2024,10,756
0201560,2024,11,941
0201560,2024,12,878
0201860,2017,1,2236
0201860,2017,2,1859
0201860,2017,3,2068
0201860,2017,4,1064
0201860,2017,5,593
0201860,2017,6,189
0201860,2017,7,66
0201860,2017,8,421
0201860,2017,9,628
0201860,2017,10,1219
0201860,2017,11,1810
0201860,2017,12,1627
0201860,2018,1,2230
0201860,2018,2,1720
0201860,2018,3,1628
0201860,2018,4,1190
0201860,2018,5,635
0201860,2018,6,284
0201860,2018,7,147
0201860,2018,8,447
0201860,2018,9,643
0201860,2018,10,1114
0201860,2018,11,1630
0201860,2018,12,2004
0201860,2019,1,2118
0201860,2019,2,1590
0201860,2019,3,1334
0201860,2019,4,1058
0201860,2019,5,561
0201860,2019,6,141
0201860,2019,7,98
0201860,2019,8,400
0201860,2019,9,668
0201860,2019,10,1211
0201860,2019,11,1747
0201860,2019,12,2255
0201860,2020,1,2556
0201860,2020,2,2246
0201860,2020,3,1894
0201860,2020,4,1157
0201860,2020,5,522
0201860,2020,6,209
0201860,2020,7,239
0201860,2020,8,275
0201860,2020,9,697
0201860,2020,10,1290
0201860,2020,11,1816
0201860,2020,12,1871
0201860,2021,1,1971
0201860,2021,2,2208
0201860,2021,3,1960
0201860,2021,4,1302
0201860,2021,5,611
0201860,2021,6,221
0201860,2021,7,173
0201860,2021,8,414
0201860,2021,9,746
0201860,2021,10,1191
0201860,2021,11,2046
0201860,2021,12,2177
0201860,2022,1,2280
0201860,2022,2,2001
0201860,2022,3,1674
0201860,2022,4,1207
0201860,2022,5,610
0201860,2022,6,189
0201860,2022,7,225
0201860,2022,8,362
0201860,2022,9,618
0201860,2022,10,1266
0201860,2022,11,1718
0201860,2022,12,2039
0201860,2023,1,1966
0201860,2023,2,1917
0201860,2023,3,1772
0201860,2023,4,1526
0201860,2023,5,564
0201860,2023,6,265
0201860,2023,7,114
0201860,2023,8,235
0201860,2023,9,697
0201860,2023,10,1287
0201860,2023,11,1516
0201860,2023,12,2122
0201860,2024,1,2371
0201860,2024,2,1820
0201860,2024,3,1712
0201860,2024,4,1054
0201860,2024,5,633
0201860,2024,6,92
0201860,2024,7,218
0201860,2024,8,405
0201860,2024,9,649
0201860,2024,10,1316
0201860,2024,11,1872
0201860,2024,12,1807
0201970,2017,1,2078
0201970,2017,2,1887
0201970,2017,3,2136
0201970,2017,4,1165
0201970,2017,5,711
0201970,2017,6,253
0201970,2017,7,89
0201970,2017,8,448
0201970,2017,9,659
0201970,2017,10,1185
0201970,2017,11,1610
0201970,2017,12,1535
0201970,2018,1,2146
0201970,2018,2,1554
0201970,2018,3,1611
0201970,2018,4,1277
0201970,2018,5,718
0201970,2018,6,309
0201970,2018,7,152
0201970,2018,8,432
0201970,2018,9,562
0201970,2018,10,1076
0201970,2018,11,1554
0201970,2018,12,2023
0201970,2019,1,2017
0201970,2019,2,1448
0201970,2019,3,1360
0201970,2019,4,1250
0201970,2019,5,628
0201970,2019,6,192
0201970,2019,7,119
0201970,2019,8,399
0201970,2019,9,626
0201970,2019,10,1177
0201970,2019,11,1688
0201970,2019,12,2091
0201970,2020,1,2362
0201970,2020,2,2213
0201970,2020,3,1816
0201970,2020,4,1227
0201970,2020,5,606
0201970,2020,6,269
0201970,2020,7,248
0201970,2020,8,285
0201970,2020,9,706
0201970,2020,10,1213
0201970,2020,11,1656
0201970,2020,12,1876
0201970,2021,1,1950
0201970,2021,2,2143
0201970,2021,3,1936
0201970,2021,4,1380
0201970,2021,5,746
0201970,2021,6,277
0201970,2021,7,228
0201970,2021,8,448
0201970,2021,9,760
0201970,2021,10,1211
0201970,2021,11,2075
0201970,2021,12,2070
0201970,2022,1,2275
0201970,2022,2,1954
0201970,2022,3,1692
0201970,2022,4,1246
0201970,2022,5,748
0201970,2022,6,278
0201970,2022,7,272
0201970,2022,8,438
0201970,2022,9,613
0201970,2022,10,1255
0201970,2022,11,1630
0201970,2022,12,1876
0201970,2023,1,1871
0201970,2023,2,1898
0201970,2023,3,1787
0201970,2023,4,1677
0201970,2023,5,731
0201970,2023,6,323
0201970,2023,7,141
0201970,2023,8,274
0201970,2023,9,688
0201970,2023,10,1241
0201970,2023,11,1490
0201970,2023,12,2061
0201970,2024,1,2155
0201970,2024,2,1710
0201970,2024,3,1804
0201970,2024,4,1206
0201970,2024,5,841
0201970,2024,6,229
0201970,2024,7,261
0201970,2024,8,455
0201970,2024,9,654
0201970,2024,10,1279
0201970,2024,11,1815
0201970,2024,12,1797
0202080,2017,1,2096
0202080,2017,2,1909
0202080,2017,3,2125
0202080,2017,4,1416
0202080,2017,5,913
0202080,2017,6,476
0202080,2017,7,278
0202080,2017,8,669
0202080,2017,9,882
0202080,2017,10,1406
0202080,2017,11,1738
0202080,2017,12,1671
0202080,2018,1,2121
0202080,2018,2,1612
0202080,2018,3,1779
0202080,2018,4,1535
0202080,2018,5,987
0202080,2018,6,626
0202080,2018,7,377
0202080,2018,8,724
0202080,2018,9,824
0202080,2018,10,1262
0202080,2018,11,1679
0202080,2018,12,2096
0202080,2019,1,2122
0202080,2019,2,1610
0202080,2019,3,1528
0202080,2019,4,1436
0202080,2019,5,859
0202080,2019,6,432
0202080,2019,7,286
0202080,2019,8,669
0202080,2019,9,857
0202080,2019,10,1407
0202080,2019,11,1827
0202080,2019,12,2178
0202080,2020,1,2472
0202080,2020,2,2300
0202080,2020,3,2038
0202080,2020,4,1490
0202080,2020,5,892
0202080,2020,6,481
0202080,2020,7,519
0202080,2020,8,501
0202080,2020,9,924
0202080,2020,10,1427
0202080,2020,11,1739
0202080,2020,12,2002
0202080,2021,1,2084
0202080,2021,2,2321
0202080,2021,3,2136
